Frame,Result,H,S,C,I,Boost,SPHY,Accepted,Sig,TS
185,111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111,0.9652,0.9672,0.9,0.002,1.4211,90.9948,✅,46b4cb1ab62a748b,2026-01-18T22:27:02.387580
183,000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9926,0.9696,0.9,0.023,2.7675,91.9373,✅,aaaf27c64df5c396,2026-01-18T22:27:02.386297
184,111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9919,0.9706,0.9,0.0214,2.6617,91.8632,✅,731025d3e1031767,2026-01-18T22:27:02.387421
186,111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111,0.9903,0.979,0.9,0.0113,2.0085,91.406,✅,4fef75d31853b2e4,2026-01-18T22:27:02.397569
187,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000,0.9831,0.9561,0.9,0.027,3.0119,92.1084,✅,912ba2bc93a84063,2026-01-18T22:27:02.400100
189,000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9896,0.9682,0.9,0.0214,2.6485,91.854,✅,76d314d1fb256151,2026-01-18T22:27:02.401957
188,111111111111111111111111111111111111111111111111111111111111111111111111111110111111111111111111111111111111111111111111,0.9912,0.9753,0.9,0.0159,2.2987,91.6091,✅,f2b203bd956a2e6f,2026-01-18T22:27:02.400657
192,000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9755,0.9838,0.9,0.0082,1.7514,91.226,✅,d22be854722c611b,2026-01-18T22:27:02.413561
190,111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111,0.9736,0.9946,0.9,0.0211,2.5795,91.8057,✅,fc6db433dde718f1,2026-01-18T22:27:02.411696
191,111011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9634,0.9646,0.9,0.0012,1.3109,90.9176,✅,cb4958d3a2c490fb,2026-01-18T22:27:02.412710
193,111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111111111111111111111111111,0.9846,0.9824,0.9,0.0022,1.3418,90.9393,✅,9581b4c030067fc4,2026-01-18T22:27:02.415667
195,111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9993,0.9793,0.9,0.02,2.5538,91.7876,✅,29f2af1d84a315c9,2026-01-18T22:27:02.422563
194,000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000,0.9935,0.9921,0.9,0.0014,1.271,90.8897,✅,79336a2ad96ba6f2,2026-01-18T22:27:02.422562
196,000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000,0.9721,0.9576,0.9,0.0145,2.1703,91.5192,✅,112a51425d50d413,2026-01-18T22:27:02.424887
197,111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111,0.9919,0.9731,0.9,0.0188,2.465,91.7255,✅,6aeaa415435479de,2026-01-18T22:27:02.430312
198,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111,0.9876,0.9889,0.9,0.0014,1.2459,90.8721,✅,b45212e458dae09e,2026-01-18T22:27:02.432407
199,000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9568,0.99,0.9,0.0332,3.3408,92.3386,✅,33bf049818b26d5d,2026-01-18T22:27:02.434610
200,111111111111111111111111111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111111111,0.9767,0.9983,0.9,0.0216,2.6147,91.8303,✅,9663b657498b8ac5,2026-01-18T22:27:02.436015
201,000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9613,0.9506,0.9,0.0107,1.9069,91.3348,✅,d932ff637ffb2b51,2026-01-18T22:27:02.442712
202,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111,0.9929,0.9514,0.9,0.0415,4.0245,92.8171,✅,d4c00138910a1eb0,2026-01-18T22:27:02.443879
203,000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000,0.9574,0.9771,0.9,0.0197,2.4919,91.7443,✅,7e8ccf6c7f0b0be5,2026-01-18T22:27:02.446568
204,111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111111111111111111111111,0.9603,0.971,0.9,0.0107,1.8947,91.3263,✅,00f8120af07d56cc,2026-01-18T22:27:02.448793
205,111111111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111111111111111111,0.9971,0.9983,0.9,0.0012,1.2076,90.8454,✅,a524260e3ca85b7c,2026-01-18T22:27:02.453850
206,111111111111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9887,0.9954,0.9,0.0067,1.611,91.1277,✅,71474c00d00d296d,2026-01-18T22:27:02.455312
208,111111111111111111111111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111,0.9747,0.9528,0.9,0.0219,2.7283,91.9098,✅,70b88b7e13b05044,2026-01-18T22:27:02.457785
207,000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.9881,0.9501,0.9,0.0381,3.8543,92.698,✅,12d757e16a753b16,2026-01-18T22:27:02.457808
212,000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000,0.956,0.9597,0.9,0.0037,1.4569,91.0198,✅,7979cc63d3742752,2026-01-18T22:27:02.468256
209,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000,0.9505,0.9683,0.9,0.0179,2.4117,91.6882,✅,9b79151abc346eb8,2026-01-18T22:27:02.465868
210,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000,0.9616,0.9512,0.9,0.0104,1.9278,91.3495,✅,8ad0af834c143fd4,2026-01-18T22:27:02.465822
211,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111011,0.9799,0.983,0.9,0.0031,1.389,90.9723,✅,6f5f095bda75978c,2026-01-18T22:27:02.467138
